Testing Spam Data
ID, WordCount, AverageWordLength, CharacterCount, SpecialCharacterCount, URLCount, LongWordCount, ShortWordCount, LongestWord, NumSpamWords, SpamDistance, HamDistance, Guess
2961, 582.0, 4.25, 3057.0, 0.0, 7.0, 19.0, 21.0, 26.0, 4.0, 0.57, 1.12, SPAM
2618, 138.0, 4.86, 812.0, 0.0, 8.0, 0.0, 4.0, 12.0, 3.0, 0.63, 0.83, SPAM
2859, 167.0, 5.03, 1010.0, 0.0, 6.0, 0.0, 2.0, 13.0, 5.0, 0.60, 1.30, SPAM
2582, 138.0, 4.78, 801.0, 0.0, 4.0, 0.0, 3.0, 12.0, 2.0, 0.59, 0.52, HAM
2590, 101.0, 4.43, 551.0, 0.0, 0.0, 0.0, 4.0, 10.0, 1.0, 0.71, 0.43, HAM
2570, 487.0, 4.21, 2540.0, 0.0, 10.0, 2.0, 31.0, 32.0, 5.0, 0.75, 1.41, SPAM
2853, 404.0, 5.33, 2560.0, 0.0, 4.0, 0.0, 13.0, 14.0, 3.0, 0.47, 0.83, SPAM
2530, 123.0, 4.56, 686.0, 0.0, 3.0, 0.0, 7.0, 11.0, 2.0, 0.61, 0.51, HAM
2507, 427.0, 4.60, 2394.0, 223.0, 1.0, 134.0, 40.0, 89.0, 5.0, 2.65, 3.49, SPAM
2975, 226.0, 4.76, 1304.0, 0.0, 13.0, 0.0, 9.0, 14.0, 3.0, 0.79, 1.00, SPAM
2600, 123.0, 4.70, 704.0, 0.0, 1.0, 0.0, 3.0, 12.0, 2.0, 0.63, 0.53, HAM
2776, 166.0, 5.23, 1032.0, 0.0, 2.0, 1.0, 7.0, 25.0, 1.0, 0.57, 0.38, HAM
2757, 122.0, 5.63, 813.0, 5.0, 4.0, 0.0, 0.0, 22.0, 0.0, 0.62, 0.53, HAM
2583, 237.0, 4.78, 1372.0, 56.0, 4.0, 7.0, 15.0, 54.0, 3.0, 0.65, 1.00, SPAM
2545, 152.0, 4.73, 873.0, 0.0, 2.0, 0.0, 2.0, 13.0, 4.0, 0.60, 1.01, SPAM
2538, 93.0, 5.67, 624.0, 0.0, 3.0, 4.0, 1.0, 26.0, 3.0, 0.60, 0.88, SPAM
2701, 384.0, 4.88, 2259.0, 0.0, 7.0, 0.0, 9.0, 13.0, 6.0, 0.60, 1.57, SPAM
2779, 351.0, 4.80, 2037.0, 47.0, 5.0, 10.0, 16.0, 47.0, 3.0, 0.50, 0.91, SPAM
2878, 363.0, 4.92, 2151.0, 0.0, 4.0, 0.0, 8.0, 22.0, 5.0, 0.51, 1.27, SPAM
2710, 208.0, 5.27, 1308.0, 0.0, 3.0, 0.0, 8.0, 15.0, 3.0, 0.51, 0.78, SPAM
2775, 178.0, 5.34, 1132.0, 0.0, 6.0, 0.0, 5.0, 13.0, 4.0, 0.56, 1.07, SPAM
2900, 311.0, 5.23, 1941.0, 0.0, 3.0, 0.0, 12.0, 13.0, 3.0, 0.48, 0.79, SPAM
2911, 163.0, 4.68, 929.0, 0.0, 6.0, 0.0, 3.0, 12.0, 2.0, 0.60, 0.55, HAM
2674, 150.0, 5.03, 908.0, 0.0, 3.0, 0.0, 3.0, 11.0, 3.0, 0.57, 0.77, SPAM
2713, 31.0, 4.91, 186.0, 0.0, 2.0, 0.0, 0.0, 12.0, 4.0, 0.67, 1.04, SPAM
2798, 65.0, 4.38, 352.0, 0.0, 1.0, 0.0, 3.0, 9.0, 4.0, 0.71, 1.04, SPAM
2567, 70.0, 4.59, 394.0, 0.0, 9.0, 0.0, 1.0, 14.0, 2.0, 0.72, 0.67, HAM
2805, 43.0, 5.16, 268.0, 0.0, 7.0, 0.0, 0.0, 13.0, 2.0, 0.67, 0.65, HAM
2614, 97.0, 4.99, 584.0, 0.0, 0.0, 0.0, 2.0, 13.0, 2.0, 0.65, 0.58, HAM
2702, 240.0, 4.42, 1304.0, 0.0, 4.0, 0.0, 13.0, 15.0, 5.0, 0.58, 1.27, SPAM
2635, 131.0, 5.61, 870.0, 0.0, 2.0, 0.0, 3.0, 12.0, 1.0, 0.62, 0.56, HAM
2789, 5.0, 6.33, 41.0, 0.0, 1.0, 0.0, 0.0, 18.0, 2.0, 0.77, 0.96, SPAM
2730, 279.0, 4.78, 1616.0, 0.0, 10.0, 0.0, 6.0, 12.0, 4.0, 0.66, 1.11, SPAM
2863, 442.0, 5.06, 2683.0, 0.0, 5.0, 0.0, 9.0, 16.0, 5.0, 0.51, 1.31, SPAM
2763, 216.0, 4.85, 1266.0, 0.0, 10.0, 0.0, 4.0, 13.0, 3.0, 0.66, 0.88, SPAM
2955, 118.0, 4.70, 675.0, 0.0, 3.0, 0.0, 9.0, 13.0, 3.0, 0.59, 0.74, SPAM
2790, 101.0, 4.66, 574.0, 0.0, 3.0, 0.0, 1.0, 11.0, 2.0, 0.63, 0.53, HAM
2860, 492.0, 4.94, 2923.0, 0.0, 4.0, 0.0, 8.0, 14.0, 4.0, 0.50, 1.05, SPAM
2564, 103.0, 4.63, 582.0, 0.0, 2.0, 0.0, 2.0, 13.0, 4.0, 0.64, 1.01, SPAM
2610, 189.0, 4.77, 1094.0, 0.0, 2.0, 0.0, 3.0, 16.0, 7.0, 0.68, 1.81, SPAM
2964, 335.0, 3.81, 1614.0, 41.0, 1.0, 4.0, 96.0, 23.0, 3.0, 1.15, 1.37, SPAM
2553, 123.0, 4.89, 727.0, 0.0, 3.0, 2.0, 1.0, 27.0, 4.0, 0.59, 1.01, SPAM
2549, 26.0, 4.15, 136.0, 0.0, 1.0, 0.0, 3.0, 11.0, 1.0, 0.77, 0.48, HAM
2586, 2859.0, 4.49, 15704.0, 336.0, 0.0, 2611.0, 73.0, 48.0, 7.0, 18.77, 23.24, SPAM
2709, 427.0, 4.28, 2257.0, 1.0, 1.0, 0.0, 25.0, 15.0, 2.0, 0.59, 0.59, HAM
2890, 380.0, 4.84, 2223.0, 57.0, 3.0, 13.0, 11.0, 57.0, 3.0, 0.65, 1.05, SPAM
2650, 173.0, 5.36, 1103.0, 0.0, 1.0, 0.0, 1.0, 13.0, 5.0, 0.62, 1.32, SPAM
2559, 123.0, 4.56, 687.0, 2.0, 3.0, 0.0, 7.0, 11.0, 2.0, 0.60, 0.50, HAM
2673, 225.0, 5.05, 1365.0, 6.0, 2.0, 0.0, 6.0, 21.0, 6.0, 0.55, 1.53, SPAM
2617, 83.0, 3.26, 355.0, 0.0, 3.0, 0.0, 34.0, 15.0, 0.0, 0.92, 0.78, HAM
2976, 161.0, 4.82, 940.0, 0.0, 2.0, 0.0, 7.0, 16.0, 3.0, 0.56, 0.74, SPAM
2685, 234.0, 5.29, 1476.0, 63.0, 1.0, 21.0, 7.0, 63.0, 2.0, 0.79, 1.03, SPAM
2996, 580.0, 4.62, 3261.0, 0.0, 3.0, 0.0, 25.0, 14.0, 4.0, 0.56, 1.08, SPAM
2771, 522.0, 4.80, 3030.0, 0.0, 5.0, 0.0, 15.0, 15.0, 4.0, 0.51, 1.06, SPAM
2525, 97.0, 4.55, 541.0, 0.0, 2.0, 0.0, 5.0, 10.0, 2.0, 0.65, 0.53, HAM
2856, 140.0, 5.26, 880.0, 0.0, 3.0, 0.0, 2.0, 14.0, 4.0, 0.57, 1.04, SPAM
2897, 159.0, 4.69, 907.0, 0.0, 3.0, 0.0, 1.0, 14.0, 4.0, 0.59, 1.00, SPAM
2656, 587.0, 4.71, 3354.0, 0.0, 6.0, 0.0, 10.0, 17.0, 3.0, 0.54, 0.86, SPAM
2778, 294.0, 5.09, 1795.0, 0.0, 6.0, 0.0, 5.0, 13.0, 2.0, 0.52, 0.58, SPAM
2786, 237.0, 5.05, 1437.0, 0.0, 3.0, 0.0, 6.0, 15.0, 5.0, 0.55, 1.27, SPAM
2666, 186.0, 4.32, 991.0, 2.0, 14.0, 0.0, 2.0, 14.0, 4.0, 0.89, 1.25, SPAM
2691, 39.0, 6.35, 291.0, 0.0, 2.0, 0.0, 3.0, 18.0, 2.0, 0.73, 0.94, SPAM
2970, 58.0, 4.68, 332.0, 0.0, 2.0, 0.0, 1.0, 12.0, 2.0, 0.66, 0.54, HAM
2686, 46.0, 4.66, 263.0, 0.0, 2.0, 0.0, 0.0, 11.0, 1.0, 0.69, 0.40, HAM
2979, 312.0, 4.23, 1633.0, 0.0, 0.0, 0.0, 36.0, 18.0, 2.0, 0.67, 0.63, HAM
2769, 140.0, 4.75, 808.0, 70.0, 9.0, 10.0, 12.0, 47.0, 1.0, 0.81, 0.95, SPAM
2566, 168.0, 5.15, 1036.0, 0.0, 3.0, 4.0, 2.0, 26.0, 3.0, 0.53, 0.77, SPAM
2561, 29.0, 6.57, 224.0, 0.0, 1.0, 3.0, 0.0, 26.0, 0.0, 0.83, 0.97, SPAM
2875, 91.0, 5.15, 563.0, 0.0, 16.0, 0.0, 1.0, 11.0, 4.0, 0.99, 1.36, SPAM
2791, 762.0, 5.29, 4800.0, 0.0, 12.0, 0.0, 11.0, 13.0, 7.0, 0.90, 2.03, SPAM
2722, 31.0, 4.91, 186.0, 0.0, 2.0, 0.0, 0.0, 12.0, 4.0, 0.67, 1.04, SPAM
2753, 47.0, 7.25, 393.0, 301.0, 5.0, 0.0, 0.0, 19.0, 1.0, 3.38, 4.16, SPAM
2624, 152.0, 4.73, 873.0, 0.0, 2.0, 0.0, 2.0, 13.0, 4.0, 0.60, 1.01, SPAM
2526, 31.0, 4.91, 186.0, 0.0, 2.0, 0.0, 0.0, 12.0, 4.0, 0.67, 1.04, SPAM
2800, 65.0, 6.54, 487.0, 0.0, 1.0, 64.0, 2.0, 26.0, 3.0, 0.73, 1.26, SPAM
2632, 83.0, 5.08, 508.0, 0.0, 0.0, 0.0, 0.0, 13.0, 0.0, 0.71, 0.46, HAM
2529, 55.0, 6.05, 392.0, 0.0, 21.0, 0.0, 0.0, 9.0, 2.0, 1.31, 1.49, SPAM
2621, 48.0, 4.55, 269.0, 0.0, 4.0, 0.0, 2.0, 10.0, 0.0, 0.72, 0.40, HAM
2947, 94.0, 5.14, 580.0, 0.0, 2.0, 4.0, 3.0, 26.0, 2.0, 0.59, 0.55, HAM
2695, 42.0, 4.65, 240.0, 0.0, 1.0, 0.0, 1.0, 13.0, 3.0, 0.68, 0.78, SPAM
2715, 121.0, 4.80, 705.0, 0.0, 3.0, 0.0, 4.0, 13.0, 3.0, 0.59, 0.75, SPAM
2799, 272.0, 5.41, 1746.0, 0.0, 4.0, 0.0, 7.0, 19.0, 3.0, 0.49, 0.81, SPAM
2669, 65.0, 4.00, 327.0, 0.0, 2.0, 0.0, 1.0, 9.0, 1.0, 0.77, 0.51, HAM
2524, 235.0, 4.86, 1375.0, 0.0, 3.0, 4.0, 4.0, 28.0, 5.0, 0.55, 1.26, SPAM
2706, 92.0, 4.65, 522.0, 0.0, 1.0, 0.0, 3.0, 11.0, 2.0, 0.66, 0.54, HAM
2850, 113.0, 4.95, 675.0, 0.0, 2.0, 0.0, 2.0, 17.0, 1.0, 0.62, 0.35, HAM
2889, 202.0, 4.94, 1203.0, 1.0, 1.0, 0.0, 5.0, 15.0, 3.0, 0.55, 0.75, SPAM
2675, 127.0, 4.73, 730.0, 0.0, 5.0, 0.0, 0.0, 11.0, 4.0, 0.62, 1.03, SPAM
2985, 423.0, 5.56, 2780.0, 346.0, 1.0, 48.0, 21.0, 49.0, 5.0, 3.85, 4.81, SPAM
2815, 11.0, 4.33, 61.0, 0.0, 2.0, 0.0, 0.0, 9.0, 2.0, 0.73, 0.60, HAM
2576, 80.0, 4.64, 454.0, 0.0, 1.0, 0.0, 0.0, 10.0, 0.0, 0.73, 0.41, HAM
2649, 258.0, 4.27, 1362.0, 0.0, 13.0, 0.0, 16.0, 15.0, 4.0, 0.82, 1.22, SPAM
2725, 470.0, 4.69, 2675.0, 50.0, 1.0, 13.0, 15.0, 50.0, 5.0, 0.61, 1.42, SPAM
2768, 543.0, 4.49, 2983.0, 0.0, 4.0, 0.0, 18.0, 14.0, 2.0, 0.54, 0.61, SPAM
2643, 449.0, 4.72, 2573.0, 0.0, 1.0, 2.0, 22.0, 29.0, 5.0, 0.56, 1.30, SPAM
2959, 158.0, 5.06, 961.0, 0.0, 3.0, 5.0, 6.0, 26.0, 2.0, 0.53, 0.51, HAM
2655, 155.0, 4.65, 879.0, 0.0, 3.0, 0.0, 5.0, 10.0, 3.0, 0.59, 0.75, SPAM
2687, 193.0, 5.18, 1195.0, 0.0, 5.0, 0.0, 2.0, 13.0, 4.0, 0.55, 1.04, SPAM
2972, 96.0, 4.33, 514.0, 1.0, 1.0, 0.0, 2.0, 17.0, 3.0, 0.67, 0.77, SPAM
2658, 430.0, 4.81, 2499.0, 0.0, 0.0, 0.0, 18.0, 16.0, 4.0, 0.55, 1.04, SPAM
2852, 52.0, 5.45, 339.0, 0.0, 1.0, 0.0, 2.0, 12.0, 2.0, 0.66, 0.66, SPAM

Testing Ham Data
ID, WordCount, AverageWordLength, CharacterCount, SpecialCharacterCount, URLCount, LongWordCount, ShortWordCount, LongestWord, NumSpamWords, SpamDistance, HamDistance, Guess
419, 612.0, 4.58, 3418.0, 1.0, 8.0, 0.0, 34.0, 19.0, 1.0, 0.66, 0.66, HAM
148, 25.0, 4.92, 151.0, 0.0, 2.0, 0.0, 1.0, 8.0, 0.0, 0.73, 0.44, HAM
1693, 25.0, 4.23, 133.0, 0.0, 0.0, 0.0, 3.0, 12.0, 0.0, 0.80, 0.48, HAM
380, 191.0, 4.33, 1021.0, 0.0, 5.0, 0.0, 10.0, 14.0, 0.0, 0.65, 0.36, HAM
103, 67.0, 4.13, 346.0, 0.0, 5.0, 0.0, 6.0, 12.0, 0.0, 0.75, 0.45, HAM
2298, 28.0, 4.48, 156.0, 0.0, 2.0, 0.0, 2.0, 10.0, 0.0, 0.75, 0.42, HAM
1252, 121.0, 4.76, 700.0, 47.0, 1.0, 11.0, 7.0, 47.0, 0.0, 0.67, 0.61, HAM
2359, 52.0, 5.58, 346.0, 6.0, 5.0, 0.0, 3.0, 15.0, 0.0, 0.65, 0.55, HAM
1356, 75.0, 5.34, 479.0, 47.0, 6.0, 10.0, 2.0, 47.0, 0.0, 0.68, 0.72, SPAM
1429, 58.0, 6.17, 420.0, 47.0, 4.0, 10.0, 1.0, 47.0, 0.0, 0.74, 0.94, SPAM
1865, 23.0, 4.54, 130.0, 0.0, 3.0, 0.0, 1.0, 10.0, 0.0, 0.74, 0.41, HAM
564, 19.0, 4.30, 103.0, 0.0, 1.0, 0.0, 2.0, 11.0, 0.0, 0.78, 0.46, HAM
2150, 25.0, 4.88, 150.0, 0.0, 2.0, 0.0, 0.0, 12.0, 0.0, 0.72, 0.42, HAM
1626, 116.0, 4.77, 672.0, 0.0, 1.0, 0.0, 3.0, 11.0, 0.0, 0.69, 0.38, HAM
1577, 357.0, 4.78, 2066.0, 95.0, 14.0, 57.0, 14.0, 47.0, 0.0, 1.14, 1.46, SPAM
847, 129.0, 4.53, 716.0, 0.0, 1.0, 0.0, 11.0, 13.0, 0.0, 0.68, 0.34, HAM
2311, 101.0, 4.94, 603.0, 2.0, 4.0, 0.0, 1.0, 13.0, 0.0, 0.64, 0.36, HAM
1593, 71.0, 4.71, 408.0, 47.0, 4.0, 10.0, 3.0, 47.0, 0.0, 0.68, 0.62, HAM
74, 180.0, 3.83, 872.0, 0.0, 1.0, 0.0, 13.0, 11.0, 0.0, 0.77, 0.52, HAM
434, 483.0, 5.15, 2974.0, 2.0, 1.0, 0.0, 16.0, 15.0, 1.0, 0.53, 0.49, HAM
838, 50.0, 4.71, 288.0, 0.0, 2.0, 0.0, 3.0, 14.0, 0.0, 0.70, 0.37, HAM
2398, 26.0, 4.89, 156.0, 0.0, 2.0, 0.0, 0.0, 10.0, 0.0, 0.72, 0.43, HAM
637, 143.0, 4.14, 737.0, 0.0, 0.0, 0.0, 12.0, 13.0, 1.0, 0.71, 0.44, HAM
1648, 204.0, 4.69, 1163.0, 0.0, 0.0, 0.0, 17.0, 12.0, 1.0, 0.63, 0.37, HAM
785, 66.0, 4.43, 361.0, 0.0, 0.0, 0.0, 3.0, 11.0, 0.0, 0.76, 0.44, HAM
455, 141.0, 5.12, 866.0, 2.0, 1.0, 0.0, 4.0, 15.0, 0.0, 0.64, 0.38, HAM
764, 85.0, 4.16, 441.0, 0.0, 1.0, 0.0, 5.0, 9.0, 1.0, 0.74, 0.46, HAM
1229, 134.0, 4.62, 756.0, 47.0, 2.0, 11.0, 8.0, 47.0, 0.0, 0.66, 0.60, HAM
2448, 509.0, 4.93, 3023.0, 6.0, 3.0, 0.0, 20.0, 13.0, 3.0, 0.45, 0.80, SPAM
519, 78.0, 4.66, 444.0, 0.0, 0.0, 0.0, 3.0, 10.0, 0.0, 0.74, 0.42, HAM
1795, 263.0, 4.43, 1430.0, 0.0, 1.0, 0.0, 16.0, 13.0, 2.0, 0.59, 0.52, HAM
1002, 214.0, 4.54, 1189.0, 47.0, 7.0, 10.0, 18.0, 47.0, 2.0, 0.60, 0.76, SPAM
1810, 74.0, 4.75, 428.0, 0.0, 3.0, 0.0, 0.0, 11.0, 2.0, 0.64, 0.54, HAM
1132, 486.0, 4.78, 2814.0, 61.0, 4.0, 249.0, 35.0, 47.0, 3.0, 1.60, 2.36, SPAM
1066, 34.0, 4.03, 173.0, 0.0, 1.0, 0.0, 3.0, 11.0, 0.0, 0.81, 0.51, HAM
2355, 246.0, 4.77, 1421.0, 2.0, 5.0, 0.0, 12.0, 14.0, 0.0, 0.57, 0.31, HAM
2495, 174.0, 4.58, 974.0, 0.0, 3.0, 0.0, 9.0, 13.0, 0.0, 0.63, 0.30, HAM
1097, 123.0, 4.31, 655.0, 0.0, 0.0, 0.0, 21.0, 12.0, 0.0, 0.73, 0.43, HAM
813, 75.0, 4.87, 443.0, 0.0, 0.0, 0.0, 5.0, 12.0, 0.0, 0.71, 0.42, HAM
1669, 108.0, 3.95, 537.0, 0.0, 0.0, 0.0, 10.0, 10.0, 2.0, 0.75, 0.65, HAM
2262, 26.0, 4.78, 153.0, 0.0, 2.0, 0.0, 3.0, 9.0, 0.0, 0.72, 0.41, HAM
1162, 815.0, 4.30, 4319.0, 54.0, 2.0, 10.0, 134.0, 47.0, 0.0, 1.66, 1.78, SPAM
1133, 321.0, 4.25, 1689.0, 5.0, 2.0, 103.0, 25.0, 26.0, 0.0, 0.71, 0.90, SPAM
726, 400.0, 5.11, 2449.0, 0.0, 1.0, 0.0, 16.0, 14.0, 0.0, 0.58, 0.44, HAM
1211, 216.0, 4.96, 1291.0, 47.0, 1.0, 11.0, 10.0, 47.0, 0.0, 0.62, 0.61, HAM
2078, 95.0, 3.52, 431.0, 0.0, 2.0, 0.0, 11.0, 13.0, 0.0, 0.84, 0.63, HAM
2248, 67.0, 4.96, 402.0, 2.0, 5.0, 0.0, 5.0, 12.0, 0.0, 0.66, 0.39, HAM
537, 273.0, 4.81, 1588.0, 0.0, 8.0, 0.0, 14.0, 13.0, 0.0, 0.63, 0.46, HAM
1581, 214.0, 4.62, 1206.0, 95.0, 8.0, 40.0, 14.0, 47.0, 0.0, 0.99, 1.25, SPAM
122, 89.0, 4.46, 488.0, 0.0, 4.0, 0.0, 1.0, 11.0, 1.0, 0.67, 0.39, HAM
707, 564.0, 5.42, 3626.0, 1.0, 10.0, 114.0, 25.0, 24.0, 1.0, 0.81, 1.21, SPAM
1021, 275.0, 4.56, 1532.0, 47.0, 2.0, 10.0, 22.0, 47.0, 1.0, 0.58, 0.60, SPAM
1313, 232.0, 4.58, 1298.0, 47.0, 7.0, 10.0, 13.0, 47.0, 2.0, 0.59, 0.75, SPAM
1941, 13.0, 5.14, 83.0, 0.0, 2.0, 0.0, 0.0, 13.0, 0.0, 0.72, 0.46, HAM
980, 256.0, 4.08, 1302.0, 47.0, 2.0, 10.0, 24.0, 47.0, 1.0, 0.66, 0.66, SPAM
1241, 99.0, 4.68, 565.0, 47.0, 3.0, 11.0, 6.0, 47.0, 0.0, 0.67, 0.60, HAM
859, 615.0, 4.92, 3644.0, 2.0, 4.0, 0.0, 20.0, 14.0, 2.0, 0.52, 0.67, SPAM
68, 343.0, 4.68, 1951.0, 0.0, 2.0, 0.0, 17.0, 14.0, 2.0, 0.52, 0.51, HAM
631, 20.0, 3.86, 99.0, 0.0, 0.0, 0.0, 2.0, 8.0, 0.0, 0.87, 0.60, HAM
161, 272.0, 5.13, 1670.0, 0.0, 3.0, 0.0, 9.0, 22.0, 2.0, 0.49, 0.52, SPAM
732, 45.0, 3.63, 210.0, 0.0, 0.0, 0.0, 5.0, 10.0, 0.0, 0.88, 0.65, HAM
2328, 44.0, 5.02, 268.0, 0.0, 2.0, 0.0, 1.0, 13.0, 0.0, 0.70, 0.42, HAM
666, 76.0, 5.06, 464.0, 0.0, 5.0, 0.0, 2.0, 12.0, 0.0, 0.67, 0.43, HAM
1688, 31.0, 4.06, 159.0, 0.0, 0.0, 0.0, 3.0, 9.0, 1.0, 0.80, 0.53, HAM
2493, 118.0, 5.84, 811.0, 144.0, 4.0, 49.0, 5.0, 72.0, 0.0, 1.63, 2.04, SPAM
2305, 94.0, 4.36, 506.0, 2.0, 6.0, 0.0, 6.0, 10.0, 0.0, 0.71, 0.42, HAM
554, 148.0, 5.03, 896.0, 0.0, 0.0, 0.0, 3.0, 14.0, 0.0, 0.67, 0.41, HAM
1677, 43.0, 4.52, 240.0, 0.0, 0.0, 0.0, 1.0, 11.0, 1.0, 0.74, 0.44, HAM
517, 537.0, 4.31, 2852.0, 0.0, 1.0, 0.0, 37.0, 15.0, 1.0, 0.67, 0.58, HAM
1544, 64.0, 4.98, 386.0, 48.0, 5.0, 10.0, 1.0, 47.0, 0.0, 0.69, 0.66, HAM
1260, 85.0, 5.08, 520.0, 47.0, 1.0, 11.0, 2.0, 47.0, 0.0, 0.69, 0.66, HAM
520, 430.0, 4.33, 2296.0, 0.0, 2.0, 0.0, 36.0, 16.0, 1.0, 0.63, 0.49, HAM
2296, 342.0, 4.25, 1798.0, 2.0, 7.0, 0.0, 35.0, 13.0, 3.0, 0.63, 0.86, SPAM
2496, 48.0, 4.67, 275.0, 0.0, 3.0, 0.0, 1.0, 12.0, 0.0, 0.71, 0.38, HAM
1948, 49.0, 4.86, 290.0, 0.0, 2.0, 0.0, 2.0, 13.0, 0.0, 0.70, 0.39, HAM
2242, 34.0, 4.80, 200.0, 0.0, 2.0, 0.0, 2.0, 13.0, 0.0, 0.71, 0.39, HAM
2378, 744.0, 4.20, 3872.0, 2.0, 2.0, 0.0, 70.0, 13.0, 0.0, 0.98, 0.97, HAM
